model,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
ml_logistic_regression_tfidf,3,0.9712532299741602,0.0016469701271294554,0.8754223868128032,0.003929639239632358,0.8958333333333334,0.020505228838572424,0.8853448026375839,0.008195807015569496
ml_knn_tfidf,3,0.9696382428940568,0.0059382352425226504,0.9736306174240633,0.012267079442196344,0.7760416666666666,0.04247267299557315,0.8631669315862621,0.029647171697078804
ml_naive_bayes_tfidf,3,0.9654392764857881,0.0060427283378131835,0.9961240310077519,0.005481447916174797,0.7239583333333334,0.04525559165880928,0.8378286887488584,0.032417211808669605
mlp_tfidf,3,0.9722222222222222,0.0012085456675626446,0.8768333933362217,0.014715368974879286,0.9036458333333334,0.02240188871625684,0.8896761424408952,0.005787268852354826
lstm,3,0.9602713178294574,0.003448668686056631,0.8292243239456353,0.04724684133814476,0.8645833333333334,0.04614595090278477,0.8439593237952087,0.004284840350086655
