model,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
ml_logistic_regression_tfidf,5,0.775,0.1457737973711325,0.8133333333333332,0.16546231527987812,0.75,0.22360679774997896,0.7587301587301587,0.1594902436454663
ml_knn_tfidf,5,0.775,0.049999999999999996,0.8333333333333334,0.13944333775567927,0.75,0.15811388300841897,0.7647619047619048,0.06298327892414209
ml_naive_bayes_tfidf,5,0.8,0.09999999999999999,0.8533333333333333,0.12927146286443544,0.75,0.22360679774997896,0.7746031746031745,0.13104614247968438
