model,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
ml_logistic_regression_bow,3,0.9793281653746769,0.0009135746526957994,0.9396875476162734,0.006706675563506381,0.890625,0.01275775907699572,0.9144013421086591,0.004446346107621562
ml_knn_bow,3,0.9644702842377262,0.00691244656299502,0.959178004686222,0.01027331516603616,0.7447916666666666,0.049547649975105336,0.8378582838157307,0.03491754603895673
ml_naive_bayes_bow,3,0.9777131782945737,0.004940910381388366,0.9340108401084012,0.02310606040083762,0.8828125,0.019136638615493577,0.9076596838452641,0.020410330659404483
mlp_bow,3,0.9706072351421189,0.004768999696457782,0.8687115472561834,0.04460907515282129,0.9036458333333334,0.024150048165353395,0.8845681846866079,0.014830366061636317
lstm,3,0.9602713178294574,0.003448668686056631,0.8292243239456353,0.04724684133814476,0.8645833333333334,0.04614595090278477,0.8439593237952087,0.004284840350086655
